id,label
0,0
1,0
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,1
31,0
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,1
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,0
151,0
152,0
153,0
154,1
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,0
174,0
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,0
214,0
215,1
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,0
229,0
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,0
247,0
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,0
265,0
266,1
267,1
268,1
269,0
270,0
271,0
272,1
273,0
274,1
275,1
276,1
277,1
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,1
302,0
303,1
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,1
313,1
314,1
315,0
316,0
317,0
318,1
319,0
320,1
321,1
322,0
323,1
324,0
325,1
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,0
339,0
340,1
341,1
342,1
343,1
344,1
345,1
346,0
347,1
348,0
349,1
350,0
351,0
352,1
353,1
354,1
355,0
356,0
357,0
358,1
359,0
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,0
372,0
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,0
388,0
389,1
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,0
405,1
406,0
407,0
408,0
409,0
410,1
411,1
412,1
413,0
414,0
415,0
416,0
417,1
418,0
419,1
420,1
421,0
422,1
423,1
424,0
425,1
426,0
427,1
428,0
429,0
430,1
431,0
432,1
433,1
434,1
435,1
436,0
437,0
438,1
439,0
440,0
441,1
442,0
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,1
451,1
452,0
453,0
454,1
455,0
456,1
457,0
458,1
459,0
460,1
461,1
462,1
463,0
464,1
465,0
466,1
467,1
468,1
469,0
470,0
471,0
472,1
473,0
474,0
475,0
476,1
477,1
478,1
479,1
480,1
481,0
482,1
483,1
484,0
485,1
486,1
487,0
488,1
489,1
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,0
513,1
514,1
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,0
529,1
530,1
531,0
532,1
